,stationid,row,col,arcid,origin
674,FI_0000135,5154,12247,14373,mmprocessedstation
675,RU_0000003,5174,45846,15195,mmprocessedstation
676,RU_0000376,5175,42567,15168,mmprocessedstation
677,RU_0000206,5180,14628,14935,mmprocessedstation
678,FI_0000021,5213,11764,14912,mmprocessedstation
679,FI_0000126,5221,11179,14907,mmprocessedstation
680,RU_0000245,5221,16241,14949,mmprocessedstation
681,FI_0000010,5234,12096,14914,mmprocessedstation
682,RU_0000372,5250,41632,15160,mmprocessedstation
683,RU_0000375,5257,42160,15165,mmprocessedstation
684,NO_0000046,5263,7550,14881,mmprocessedstation
