grdc/arcid,row,col,arcid
6604180,6614,4834,-99
SE_0000024,6626,9359,-99
DK_0000007,6627,8160,-99
RU_0000438,6628,24059,-99
6604635,6632,5040,-99
6604630,6636,5148,-99
GB_0000186,6638,4867,-99
6604625,6640,5292,-99
6934250,6662,8321,-99
6604645,6665,5052,-99
RU_0000444,6666,20909,-99
RU_0000413,6667,28968,-99
6604640,6675,5026,-99
RU_0000343,6677,18220,-99
6934400,6687,8408,-99
6233250,6694,9391,-99
DK_0000003,6702,8452,-99
6604210,6720,4805,-99
6233180,6721,9071,-99
6934100,6731,8092,-99
RU_0000386,6731,35979,-99
6604665,6736,5035,-99
6604680,6736,5333,-99
6974100,6737,11154,-99
6934200,6743,8307,-99
6973300,6752,12363,-99
DK_0000019,6756,8908,-99
6973700,6757,13904,-99
RU_0000397,6757,32435,-99
6604200,6760,5010,-99
RU_0000312,6763,14903,-99
6604201,6768,5023,-99
6604760,6770,5474,-99
RU_0000194,6775,13331,-99
RU_0000291,6783,14123,-99
6604750,6786,5481,-99
6233165,6790,9364,-99
6233190,6791,9154,-99
6976100,6791,18544,-99
6233160,6805,9315,-99
6233140,6806,9250,-99
6604230,6816,4889,-99
6604690,6817,5329,-99
DK_0000012,6818,8316,-99
6975110,6818,16096,-99
6604700,6820,5363,-99
6974020,6823,11179,-99
6975200,6828,17061,-99
6604900,6829,5407,-99
6233367,6834,9184,-99
6604205,6836,5112,-99
SE_0000030,6837,9341,-99
6604910,6843,5388,-99
RU_0000437,6850,24795,-99
6604920,6855,5338,-99
DK_0000013,6866,8506,-99
DK_0000023,6876,8725,-99
DK_0000020,6877,8944,-99
6605330,6879,5607,-99
6934350,6882,8130,-99
6934571,6889,8804,-99
6604240,6897,4846,-99
DK_0000022,6898,8764,-99
GB_0000031,6901,5384,-99
6974360,6901,11940,-99
RU_0000352,6908,18316,-99
6974300,6918,11718,-99
6603340,6919,4434,-99
GB_0000175,6919,5171,-99
6605320,6932,5611,-99
6605350,6941,5300,-99
6974350,6942,11829,-99
6974150,6943,11417,-99
6975150,6947,14783,-99
6604500,6954,5215,-99
6603300,6964,4428,-99
RU_0000353,6970,18064,-99
6605300,6971,5534,-99
6605310,6973,5397,-99
IE_0000025,6976,4125,-99
6604270,6976,5078,-99
6604250,6983,4838,-99
6605360,6983,5290,-99
6603110,6986,4220,-99
RU_0000311,7000,14706,-99
RU_0000183,7001,11307,-99
6603120,7004,4210,-99
6974201,7013,11486,-99
6605700,7022,5616,-99
GB_0000170,7023,5183,-99
6605730,7024,5617,-99
6603350,7027,4505,-99
6605710,7035,5563,-99
6974011,7036,12076,-99
6976450,7037,19436,-99
6605380,7040,5162,-99
6974010,7040,12157,-99
RU_0000181,7044,11272,-99
6605385,7046,5196,-99
6603100,7055,4251,-99
6605580,7055,5626,-99
RU_0000406,7060,30148,-99
GB_0000214,7066,4620,-99
6603500,7067,4572,-99
6338800,7076,8236,-99
GB_0000036,7078,5532,-99
6605510,7079,5684,-99
RU_0000182,7090,10780,-99
6603320,7101,4382,-99
PL_0000008,7109,10224,-99
6603130,7125,4155,-99
GB_0000048,7130,5458,-99
6605480,7131,5339,-99
6605390,7135,5286,-99
RU_0000317,7135,15619,-99
GB_0000047,7137,5779,-99
6975700,7141,17588,-99
RU_0000354,7154,18113,-99
6605565,7162,5677,-99
6979700,7164,13695,-99
6503151,7176,3802,-99
6503201,7176,4211,-99
6605560,7176,5649,-99
6605410,7177,5937,-99
6605450,7180,5347,-99
PL_0000030,7184,9663,-99
IE_0000023,7185,4112,-99
RU_0000320,7192,16612,-99
6605420,7195,5787,-99
GB_0000164,7201,5329,-99
6605570,7201,5726,-99
GB_0000038,7205,5920,-99
6605575,7206,5676,-99
6502171,7207,3991,-99
RU_0000377,7208,31408,-99
6605540,7214,5552,-99
6605550,7219,5673,-99
6605440,7222,5524,-99
6503370,7223,4440,-99
GB_0000199,7234,5341,-99
RU_0000411,7248,28287,-99
6341500,7249,9193,-99
6605100,7254,5370,-99
BY_0000021,7264,13155,-99
6503851,7269,4427,-99
2910500,7273,27143,-99
6503855,7282,4394,-99
RU_0000398,7296,32304,-99
DE_0000732,7301,8416,-99
6502160,7304,4137,-99
6457990,7304,9555,-99
BY_0000023,7325,12872,-99
6502151,7334,4019,-99
6605210,7334,5437,-99
BY_0000020,7338,12652,-99
6605610,7344,5769,-99
6458863,7345,11229,-99
GB_0000058,7350,6002,-99
6605720,7352,5676,-99
6502150,7354,4022,-99
6605220,7360,5465,-99
6606580,7368,5968,-99
RU_0000357,7369,18835,-99
DE_0000053,7373,8348,-99
6503100,7375,3827,-99
6502141,7375,4121,-99
6608530,7383,5143,-99
6340110,7383,8613,-99
BY_0000025,7391,12821,-99
